,resultId,raceId,name,year,circuitId,driverId,constructorId,starting_position,finishing_status,train_test,ending_position
20534,20534,345,European Grand Prix,2010,12,811,164,24,1,1,20
20535,20535,345,European Grand Prix,2010,12,15,205,19,1,1,21
20536,20536,345,European Grand Prix,2010,12,807,3,8,2,1,0
20537,20537,345,European Grand Prix,2010,12,5,205,20,2,1,0
20538,20538,345,European Grand Prix,2010,12,17,9,2,2,1,0
20539,20539,346,British Grand Prix,2010,9,17,9,2,1,1,1
20540,20540,346,British Grand Prix,2010,9,1,1,4,1,1,2
20541,20541,346,British Grand Prix,2010,9,3,131,5,1,1,3
20542,20542,346,British Grand Prix,2010,9,18,1,14,1,1,4
20543,20543,346,British Grand Prix,2010,9,22,3,8,1,1,5
20544,20544,346,British Grand Prix,2010,9,155,15,12,1,1,6
20545,20545,346,British Grand Prix,2010,9,20,9,1,1,1,7
20546,20546,346,British Grand Prix,2010,9,16,10,11,1,1,8
20547,20547,346,British Grand Prix,2010,9,30,131,10,1,1,9
20548,20548,346,British Grand Prix,2010,9,807,3,13,1,1,10
20549,20549,346,British Grand Prix,2010,9,24,10,20,1,1,11
20550,20550,346,British Grand Prix,2010,9,67,5,16,1,1,12
20551,20551,346,British Grand Prix,2010,9,808,4,15,1,1,13
20552,20552,346,British Grand Prix,2010,9,4,6,3,1,1,14
20553,20553,346,British Grand Prix,2010,9,13,6,7,1,1,15
20554,20554,346,British Grand Prix,2010,9,15,205,21,1,1,16
20555,20555,346,British Grand Prix,2010,9,5,205,18,1,1,17
20556,20556,346,British Grand Prix,2010,9,10,166,19,1,1,18
20557,20557,346,British Grand Prix,2010,9,812,164,23,1,1,19
20558,20558,346,British Grand Prix,2010,9,29,164,24,1,1,20
20559,20559,346,British Grand Prix,2010,9,153,5,17,2,1,0
20560,20560,346,British Grand Prix,2010,9,37,15,9,2,1,0
20561,20561,346,British Grand Prix,2010,9,9,4,6,2,1,0
20562,20562,346,British Grand Prix,2010,9,810,166,22,2,1,0
20563,20563,347,German Grand Prix,2010,10,4,6,2,1,1,1
20564,20564,347,German Grand Prix,2010,10,13,6,3,1,1,2
20565,20565,347,German Grand Prix,2010,10,20,9,1,1,1,3
20566,20566,347,German Grand Prix,2010,10,1,1,6,1,1,4
20567,20567,347,German Grand Prix,2010,10,18,1,5,1,1,5
20568,20568,347,German Grand Prix,2010,10,17,9,4,1,1,6
20569,20569,347,German Grand Prix,2010,10,9,4,7,1,1,7
20570,20570,347,German Grand Prix,2010,10,3,131,9,1,1,8
20571,20571,347,German Grand Prix,2010,10,30,131,11,1,1,9
20572,20572,347,German Grand Prix,2010,10,808,4,13,1,1,10
20573,20573,347,German Grand Prix,2010,10,155,15,12,1,1,11
20574,20574,347,German Grand Prix,2010,10,22,3,8,1,1,12
20575,20575,347,German Grand Prix,2010,10,807,3,10,1,1,13
20576,20576,347,German Grand Prix,2010,10,37,15,14,1,1,14
20577,20577,347,German Grand Prix,2010,10,153,5,15,1,1,15
20578,20578,347,German Grand Prix,2010,10,24,10,21,1,1,16
20579,20579,347,German Grand Prix,2010,10,16,10,19,1,1,17
20580,20580,347,German Grand Prix,2010,10,10,166,23,1,1,18
20581,20581,347,German Grand Prix,2010,10,811,164,20,1,1,19
20582,20582,347,German Grand Prix,2010,10,5,205,18,2,1,0
20583,20583,347,German Grand Prix,2010,10,810,166,24,2,1,0
20584,20584,347,German Grand Prix,2010,10,29,164,22,2,1,0
20585,20585,347,German Grand Prix,2010,10,15,205,17,2,1,0
20586,20586,347,German Grand Prix,2010,10,67,5,16,2,1,0
20587,20587,348,Hungarian Grand Prix,2010,11,17,9,2,1,1,1
20588,20588,348,Hungarian Grand Prix,2010,11,4,6,3,1,1,2
20589,20589,348,Hungarian Grand Prix,2010,11,20,9,1,1,1,3
20590,20590,348,Hungarian Grand Prix,2010,11,13,6,4,1,1,4
20591,20591,348,Hungarian Grand Prix,2010,11,808,4,7,1,1,5
20592,20592,348,Hungarian Grand Prix,2010,11,807,3,10,1,1,6
20593,20593,348,Hungarian Grand Prix,2010,11,37,15,9,1,1,7
20594,20594,348,Hungarian Grand Prix,2010,11,18,1,11,1,1,8
20595,20595,348,Hungarian Grand Prix,2010,11,155,15,23,1,1,9
20596,20596,348,Hungarian Grand Prix,2010,11,22,3,12,1,1,10
20597,20597,348,Hungarian Grand Prix,2010,11,30,131,14,1,1,11
20598,20598,348,Hungarian Grand Prix,2010,11,67,5,15,1,1,12
20599,20599,348,Hungarian Grand Prix,2010,11,24,10,16,1,1,13
20600,20600,348,Hungarian Grand Prix,2010,11,5,205,19,1,1,14
20601,20601,348,Hungarian Grand Prix,2010,11,15,205,20,1,1,15
20602,20602,348,Hungarian Grand Prix,2010,11,10,166,18,1,1,16
20603,20603,348,Hungarian Grand Prix,2010,11,811,164,22,1,1,17
20604,20604,348,Hungarian Grand Prix,2010,11,810,166,21,1,1,18
20605,20605,348,Hungarian Grand Prix,2010,11,29,164,24,1,1,19
20606,20606,348,Hungarian Grand Prix,2010,11,1,1,5,2,1,0
20607,20607,348,Hungarian Grand Prix,2010,11,9,4,8,2,1,0
20608,20608,348,Hungarian Grand Prix,2010,11,3,131,6,2,1,0
20609,20609,348,Hungarian Grand Prix,2010,11,16,10,13,2,1,0
20610,20610,348,Hungarian Grand Prix,2010,11,153,5,17,2,1,0
20611,20611,349,Belgian Grand Prix,2010,13,1,1,2,1,1,1
20612,20612,349,Belgian Grand Prix,2010,13,17,9,1,1,1,2
20613,20613,349,Belgian Grand Prix,2010,13,9,4,3,1,1,3
20614,20614,349,Belgian Grand Prix,2010,13,13,6,6,1,1,4
20615,20615,349,Belgian Grand Prix,2010,13,16,10,8,1,1,5
20616,20616,349,Belgian Grand Prix,2010,13,3,131,14,1,1,6
20617,20617,349,Belgian Grand Prix,2010,13,30,131,21,1,1,7
20618,20618,349,Belgian Grand Prix,2010,13,155,15,17,1,1,8
20619,20619,349,Belgian Grand Prix,2010,13,808,4,23,1,1,9
20620,20620,349,Belgian Grand Prix,2010,13,24,10,12,1,1,10
20621,20621,349,Belgian Grand Prix,2010,13,37,15,24,1,1,11
20622,20622,349,Belgian Grand Prix,2010,13,67,5,16,1,1,12
