,resultId,NN_Outcome,NN_Bin
357,23739,16,4
347,23729,17,4
350,23732,18,4
352,23734,19,4
356,23738,20,4
360,23742,1,1
362,23744,2,1
364,23746,3,1
367,23749,4,2
361,23743,5,2
377,23759,6,2
369,23751,7,3
363,23745,8,3
365,23747,9,3
370,23752,10,3
378,23760,11,4
374,23756,12,4
379,23761,13,4
368,23750,14,4
373,23755,15,4
366,23748,16,4
376,23758,17,4
375,23757,18,4
371,23753,19,4
372,23754,20,4
381,23763,1,1
382,23764,2,1
399,23781,3,1
384,23766,4,2
383,23765,5,2
380,23762,6,2
387,23769,7,3
388,23770,8,3
391,23773,9,3
385,23767,10,3
398,23780,11,4
392,23774,12,4
390,23772,13,4
393,23775,14,4
386,23768,15,4
389,23771,16,4
397,23779,17,4
395,23777,18,4
396,23778,19,4
394,23776,20,4
