,index,driverId,position,driverRef,nationality,country,homeWin
1914,16235,361,2.0,courage,British,Monaco,No
1915,16236,346,3.0,siffert,Swiss,Monaco,No
1916,16250,328,1.0,stewart,British,Netherlands,No
1917,16251,346,2.0,siffert,Swiss,Netherlands,No
1918,16252,278,3.0,amon,New Zealander,Netherlands,No
1919,16265,328,1.0,stewart,British,France,No
1920,16266,306,2.0,beltoise,French,France,Yes
1921,16267,235,3.0,ickx,Belgian,France,No
1922,16278,328,1.0,stewart,British,UK,Yes
1923,16279,235,2.0,ickx,Belgian,UK,No
1924,16280,360,3.0,mclaren,New Zealander,UK,No
1925,16295,235,1.0,ickx,Belgian,Germany,No
1926,16296,328,2.0,stewart,British,Germany,No
1927,16297,360,3.0,mclaren,New Zealander,Germany,No
1928,16309,328,1.0,stewart,British,Italy,No
1929,16310,358,2.0,rindt,Austrian,Italy,No
1930,16311,306,3.0,beltoise,French,Italy,No
1931,16324,235,1.0,ickx,Belgian,Canada,No
1932,16325,356,2.0,jack_brabham,Australian,Canada,No
1933,16326,358,3.0,rindt,Austrian,Canada,No
1934,16344,358,1.0,rindt,Austrian,USA,No
1935,16345,361,2.0,courage,British,USA,No
1936,16346,341,3.0,surtees,British,USA,No
1937,16362,304,1.0,hulme,New Zealander,Mexico,No
1938,16363,235,2.0,ickx,Belgian,Mexico,No
1939,16364,356,3.0,jack_brabham,Australian,Mexico,No
1940,16379,373,1.0,clark,British,South Africa,No
1941,16380,289,2.0,hill,British,South Africa,No
1942,16381,358,3.0,rindt,Austrian,South Africa,No
1943,16402,289,1.0,hill,British,Spain,No
1944,16403,304,2.0,hulme,New Zealander,Spain,No
1945,16404,312,3.0,redman,British,Spain,No
1946,16416,289,1.0,hill,British,Monaco,No
1947,16417,370,2.0,attwood,British,Monaco,No
1948,16418,376,3.0,bianchi,Belgian,Monaco,No
1949,16434,360,1.0,mclaren,New Zealander,Belgium,No
1950,16435,345,2.0,rodriguez,Mexican,Belgium,No
1951,16436,235,3.0,ickx,Belgian,Belgium,Yes
1952,16452,328,1.0,stewart,British,Netherlands,No
1953,16453,306,2.0,beltoise,French,Netherlands,No
1954,16454,345,3.0,rodriguez,Mexican,Netherlands,No
1955,16471,235,1.0,ickx,Belgian,France,No
1956,16472,341,2.0,surtees,British,France,No
1957,16473,328,3.0,stewart,British,France,No
1958,16488,346,1.0,siffert,Swiss,UK,No
1959,16489,278,2.0,amon,New Zealander,UK,No
1960,16490,235,3.0,ickx,Belgian,UK,No
1961,16508,328,1.0,stewart,British,Germany,No
1962,16509,289,2.0,hill,British,Germany,No
1963,16510,358,3.0,rindt,Austrian,Germany,No
1964,16528,304,1.0,hulme,New Zealander,Italy,No
1965,16529,359,2.0,gavin,French,Italy,No
1966,16530,235,3.0,ickx,Belgian,Italy,No
1967,16550,304,1.0,hulme,New Zealander,Canada,No
1968,16551,360,2.0,mclaren,New Zealander,Canada,No
1969,16552,345,3.0,rodriguez,Mexican,Canada,No
1970,16571,328,1.0,stewart,British,USA,No
1971,16572,289,2.0,hill,British,USA,No
1972,16573,341,3.0,surtees,British,USA,No
1973,16591,289,1.0,hill,British,Mexico,No
1974,16592,360,2.0,mclaren,New Zealander,Mexico,No
1975,16593,262,3.0,oliver,British,Mexico,No
1976,16612,345,1.0,rodriguez,Mexican,South Africa,No
1977,16613,340,2.0,love,Rhodesian,South Africa,No
1978,16614,341,3.0,surtees,British,South Africa,No
1979,16630,304,1.0,hulme,New Zealander,Monaco,No
1980,16631,289,2.0,hill,British,Monaco,No
1981,16632,278,3.0,amon,New Zealander,Monaco,No
1982,16649,373,1.0,clark,British,Netherlands,No
1983,16650,356,2.0,jack_brabham,Australian,Netherlands,No
1984,16651,304,3.0,hulme,New Zealander,Netherlands,No
1985,16666,364,1.0,gurney,American,Belgium,No
1986,16667,328,2.0,stewart,British,Belgium,No
1987,16668,278,3.0,amon,New Zealander,Belgium,No
1988,16684,356,1.0,jack_brabham,Australian,France,No
1989,16685,304,2.0,hulme,New Zealander,France,No
1990,16686,328,3.0,stewart,British,France,No
1991,16699,373,1.0,clark,British,UK,Yes
1992,16700,304,2.0,hulme,New Zealander,UK,No
1993,16701,278,3.0,amon,New Zealander,UK,No
1994,16720,304,1.0,hulme,New Zealander,Germany,No
1995,16721,356,2.0,jack_brabham,Australian,Germany,No
1996,16722,278,3.0,amon,New Zealander,Germany,No
1997,16744,356,1.0,jack_brabham,Australian,Canada,No
1998,16745,304,2.0,hulme,New Zealander,Canada,No
1999,16746,364,3.0,gurney,American,Canada,No
2000,16762,341,1.0,surtees,British,Italy,No
2001,16763,356,2.0,jack_brabham,Australian,Italy,No
2002,16764,373,3.0,clark,British,Italy,No
2003,16780,373,1.0,clark,British,USA,No
2004,16781,289,2.0,hill,British,USA,No
2005,16782,304,3.0,hulme,New Zealander,USA,No
2006,16798,373,1.0,clark,British,Mexico,No
2007,16799,356,2.0,jack_brabham,Australian,Mexico,No
2008,16800,304,3.0,hulme,New Zealander,Mexico,No
2009,16817,328,1.0,stewart,British,Monaco,No
2010,16818,385,2.0,bandini,Italian,Monaco,No
2011,16819,289,3.0,hill,British,Monaco,No
2012,16833,341,1.0,surtees,British,Belgium,No
2013,16834,358,2.0,rindt,Austrian,Belgium,No
2014,16835,385,3.0,bandini,Italian,Belgium,No
2015,16851,356,1.0,jack_brabham,Australian,France,No
2016,16852,387,2.0,parkes,British,France,No
2017,16853,304,3.0,hulme,New Zealander,France,No
2018,16868,356,1.0,jack_brabham,Australian,UK,No
2019,16869,304,2.0,hulme,New Zealander,UK,No
2020,16870,289,3.0,hill,British,UK,Yes
2021,16888,356,1.0,jack_brabham,Australian,Netherlands,No
2022,16889,289,2.0,hill,British,Netherlands,No
2023,16890,373,3.0,clark,British,Netherlands,No
2024,16905,356,1.0,jack_brabham,Australian,Germany,No
2025,16906,341,2.0,surtees,British,Germany,No
2026,16907,358,3.0,rindt,Austrian,Germany,No
2027,16924,375,1.0,scarfiotti,Italian,Italy,Yes
2028,16925,387,2.0,parkes,British,Italy,No
2029,16926,304,3.0,hulme,New Zealander,Italy,No
2030,16946,373,1.0,clark,British,USA,No
2031,16947,358,2.0,rindt,Austrian,USA,No
2032,16948,341,3.0,surtees,British,USA,No
2033,16965,341,1.0,surtees,British,Mexico,No
2034,16966,356,2.0,jack_brabham,Australian,Mexico,No
2035,16967,304,3.0,hulme,New Zealander,Mexico,No
2036,16983,373,1.0,clark,British,South Africa,No
2037,16984,341,2.0,surtees,British,South Africa,No
2038,16985,289,3.0,hill,British,South Africa,No
2039,17014,289,1.0,hill,British,Monaco,No
2040,17015,385,2.0,bandini,Italian,Monaco,No
2041,17016,328,3.0,stewart,British,Monaco,No
2042,17031,373,1.0,clark,British,Belgium,No
2043,17032,328,2.0,stewart,British,Belgium,No
2044,17033,360,3.0,mclaren,New Zealander,Belgium,No
2045,17050,373,1.0,clark,British,France,No
2046,17051,328,2.0,stewart,British,France,No
2047,17052,341,3.0,surtees,British,France,No
2048,17067,373,1.0,clark,British,UK,Yes
2049,17068,289,2.0,hill,British,UK,Yes
2050,17069,341,3.0,surtees,British,UK,Yes
2051,17090,373,1.0,clark,British,Netherlands,No
2052,17091,328,2.0,stewart,British,Netherlands,No
2053,17092,364,3.0,gurney,American,Netherlands,No
2054,17107,373,1.0,clark,British,Germany,No
2055,17108,289,2.0,hill,British,Germany,No
2056,17109,364,3.0,gurney,American,Germany,No
2057,17128,328,1.0,stewart,British,Italy,No
2058,17129,289,2.0,hill,British,Italy,No
2059,17130,364,3.0,gurney,American,Italy,No
2060,17151,289,1.0,hill,British,USA,No
2061,17152,364,2.0,gurney,American,USA,Yes
2062,17153,356,3.0,jack_brabham,Australian,USA,No
2063,17169,386,1.0,ginther,American,Mexico,No
2064,17170,364,2.0,gurney,American,Mexico,No
2065,17171,374,3.0,spence,British,Mexico,No
2066,17188,289,1.0,hill,British,Monaco,No
2067,17189,386,2.0,ginther,American,Monaco,No
2068,17190,397,3.0,arundell,British,Monaco,No
2069,17211,373,1.0,clark,British,Netherlands,No
2070,17212,341,2.0,surtees,British,Netherlands,No
2071,17213,397,3.0,arundell,British,Netherlands,No
2072,17229,373,1.0,clark,British,Belgium,No
2073,17230,360,2.0,mclaren,New Zealander,Belgium,No
2074,17231,356,3.0,jack_brabham,Australian,Belgium,No
2075,17247,364,1.0,gurney,American,France,No
2076,17248,289,2.0,hill,British,France,No
2077,17249,356,3.0,jack_brabham,Australian,France,No
2078,17264,373,1.0,clark,British,UK,Yes
2079,17265,289,2.0,hill,British,UK,Yes
2080,17266,341,3.0,surtees,British,UK,Yes
2081,17289,341,1.0,surtees,British,Germany,No
2082,17290,289,2.0,hill,British,Germany,No
2083,17291,385,3.0,bandini,Italian,Germany,No
2084,17312,385,1.0,bandini,Italian,Austria,No
2085,17313,386,2.0,ginther,American,Austria,No
2086,17314,383,3.0,anderson,British,Austria,No
2087,17332,341,1.0,surtees,British,Italy,No
2088,17333,360,2.0,mclaren,New Zealander,Italy,No
