,resultId,RNF_Outcome,RNF_Bin
209,23992,12,4
210,23993,13,4
211,23994,14,4
213,23996,15,4
214,23997,16,4
215,23998,17,4
216,23999,18,4
218,24001,19,4
219,24002,20,4
220,24003,1,1
221,24004,2,1
237,24020,3,1
238,24021,4,2
222,24005,5,2
223,24006,6,2
224,24007,7,3
225,24008,8,3
226,24009,9,3
227,24010,10,3
228,24011,11,4
229,24012,12,4
230,24013,13,4
231,24014,14,4
232,24015,15,4
233,24016,16,4
234,24017,17,4
235,24018,18,4
236,24019,19,4
239,24022,20,4
241,24024,1,1
240,24023,2,1
244,24027,3,1
246,24029,4,2
254,24037,5,2
242,24025,6,2
243,24026,7,3
245,24028,8,3
247,24030,9,3
248,24031,10,3
249,24032,11,4
250,24033,12,4
251,24034,13,4
252,24035,14,4
253,24036,15,4
255,24038,16,4
256,24039,17,4
257,24040,18,4
258,24041,19,4
259,24042,20,4
261,24044,1,1
260,24043,2,1
263,24046,3,1
262,24045,4,2
264,24047,5,2
265,24048,6,2
266,24049,7,3
267,24050,8,3
268,24051,9,3
269,24052,10,3
270,24053,11,4
271,24054,12,4
272,24055,13,4
273,24056,14,4
274,24057,15,4
275,24058,16,4
276,24059,17,4
277,24060,18,4
278,24061,19,4
279,24062,20,4
280,24063,1,1
282,24065,2,1
281,24064,3,1
283,24066,4,2
284,24067,5,2
285,24068,6,2
286,24069,7,3
287,24070,8,3
288,24071,9,3
289,24072,10,3
290,24073,11,4
291,24074,12,4
292,24075,13,4
293,24076,14,4
294,24077,15,4
295,24078,16,4
296,24079,17,4
297,24080,18,4
298,24081,19,4
299,24082,20,4
300,24083,1,1
301,24084,2,1
302,24085,3,1
303,24086,4,2
304,24087,5,2
305,24088,6,2
306,24089,7,3
307,24090,8,3
308,24091,9,3
309,24092,10,3
310,24093,11,4
311,24094,12,4
312,24095,13,4
313,24096,14,4
314,24097,15,4
315,24098,16,4
316,24099,17,4
317,24100,18,4
318,24101,19,4
319,24102,20,4
320,24103,1,1
324,24107,2,1
327,24110,3,1
321,24104,4,2
322,24105,5,2
323,24106,6,2
325,24108,7,3
326,24109,8,3
328,24111,9,3
329,24112,10,3
330,24113,11,4
331,24114,12,4
332,24115,13,4
333,24116,14,4
334,24117,15,4
335,24118,16,4
336,24119,17,4
337,24120,18,4
338,24121,19,4
339,24122,20,4
342,24125,1,1
340,24123,2,1
344,24127,3,1
355,24138,4,2
341,24124,5,2
343,24126,6,2
345,24128,7,3
346,24129,8,3
347,24130,9,3
348,24131,10,3
349,24132,11,4
350,24133,12,4
351,24134,13,4
352,24135,14,4
353,24136,15,4
354,24137,16,4
356,24139,17,4
357,24140,18,4
358,24141,19,4
359,24142,20,4
360,24143,1,1
376,24159,2,1
361,24144,3,1
362,24145,4,2
363,24146,5,2
364,24147,6,2
365,24148,7,3
366,24149,8,3
367,24150,9,3
368,24151,10,3
369,24152,11,4
370,24153,12,4
371,24154,13,4
372,24155,14,4
373,24156,15,4
374,24157,16,4
375,24158,17,4
377,24160,18,4
378,24161,19,4
379,24162,20,4
380,24163,1,1
385,24168,2,1
381,24164,3,1
382,24165,4,2
383,24166,5,2
384,24167,6,2
386,24169,7,3
387,24170,8,3
388,24171,9,3
389,24172,10,3
390,24173,11,4
391,24174,12,4
392,24175,13,4
393,24176,14,4
394,24177,15,4
395,24178,16,4
396,24179,17,4
397,24180,18,4
398,24181,19,4
399,24182,20,4
400,24183,1,1
404,24187,2,1
401,24184,3,1
402,24185,4,2
403,24186,5,2
405,24188,6,2
406,24189,7,3
407,24190,8,3
408,24191,9,3
409,24192,10,3
410,24193,11,4
411,24194,12,4
412,24195,13,4
413,24196,14,4
414,24197,15,4
415,24198,16,4
416,24199,17,4
417,24200,18,4
418,24201,19,4
419,24202,20,4
