,resultId,name,driverRef,constructorRef,Outcome,Bin,CL_Outcome,CL_Bin,SVM_Outcome,SVM_Bin,RNF_Outcome,RNF_Bin,NN_Outcome,NN_Bin
33,23815,Bahrain Grand Prix,stroll,williams,14,4,40,4,19,4,19,4,26,4
34,23816,Bahrain Grand Prix,sirotkin,williams,15,4,36,4,18,4,20,4,37,4
35,23817,Bahrain Grand Prix,perez,force_india,16,4,24,4,15,4,21,4,28,4
36,23818,Bahrain Grand Prix,brendon_hartley,toro_rosso,17,4,22,4,14,4,22,4,17,4
37,23819,Bahrain Grand Prix,raikkonen,ferrari,0,4,3,1,5,2,2,1,6,2
38,23820,Bahrain Grand Prix,max_verstappen,red_bull,0,4,31,4,17,4,23,4,18,4
39,23821,Bahrain Grand Prix,ricciardo,red_bull,0,4,8,3,13,4,24,4,7,3
40,23822,Chinese Grand Prix,ricciardo,red_bull,1,1,12,4,13,4,6,2,12,4
41,23823,Chinese Grand Prix,bottas,mercedes,2,1,8,3,6,2,7,3,6,2
42,23824,Chinese Grand Prix,raikkonen,ferrari,3,1,4,2,5,2,4,2,7,3
43,23825,Chinese Grand Prix,hamilton,mercedes,4,2,7,3,2,1,8,3,2,1
44,23826,Chinese Grand Prix,max_verstappen,red_bull,5,2,11,4,11,4,9,3,8,3
45,23827,Chinese Grand Prix,hulkenberg,renault,6,2,14,4,14,4,10,3,15,4
46,23828,Chinese Grand Prix,alonso,mclaren,7,3,25,4,22,4,11,4,16,4
47,23829,Chinese Grand Prix,vettel,ferrari,8,3,1,1,4,2,2,1,3,1
48,23830,Chinese Grand Prix,sainz,renault,9,3,21,4,18,4,12,4,21,4
49,23831,Chinese Grand Prix,kevin_magnussen,haas,10,3,22,4,38,4,13,4,24,4
50,23832,Chinese Grand Prix,ocon,force_india,11,4,27,4,20,4,14,4,29,4
51,23833,Chinese Grand Prix,perez,force_india,12,4,19,4,16,4,15,4,32,4
52,23834,Chinese Grand Prix,vandoorne,mclaren,13,4,29,4,21,4,16,4,26,4
53,23835,Chinese Grand Prix,stroll,williams,14,4,37,4,29,4,17,4,28,4
54,23836,Chinese Grand Prix,sirotkin,williams,15,4,33,4,26,4,18,4,37,4
55,23837,Chinese Grand Prix,ericsson,sauber,16,4,40,4,32,4,19,4,39,4
56,23838,Chinese Grand Prix,grosjean,haas,17,4,17,4,36,4,20,4,33,4
57,23839,Chinese Grand Prix,gasly,toro_rosso,18,4,35,4,28,4,21,4,19,4
58,23840,Chinese Grand Prix,leclerc,sauber,19,4,39,4,31,4,22,4,40,4
59,23841,Chinese Grand Prix,brendon_hartley,toro_rosso,20,4,30,4,25,4,23,4,18,4
60,23842,Azerbaijan Grand Prix,hamilton,mercedes,1,1,4,2,5,2,6,2,1,1
61,23843,Azerbaijan Grand Prix,raikkonen,ferrari,2,1,12,4,38,4,14,4,12,4
62,23844,Azerbaijan Grand Prix,perez,force_india,3,1,18,4,25,4,9,3,23,4
63,23845,Azerbaijan Grand Prix,vettel,ferrari,4,2,3,1,22,4,10,3,3,1
64,23846,Azerbaijan Grand Prix,sainz,renault,5,2,20,4,28,4,15,4,20,4
65,23847,Azerbaijan Grand Prix,leclerc,sauber,6,2,30,4,29,4,16,4,35,4
66,23848,Azerbaijan Grand Prix,alonso,mclaren,7,3,24,4,39,4,17,4,14,4
