,resultId,name,driverRef,constructorRef,Outcome,Bin,CL_Outcome,CL_Bin
365,23964,British Grand Prix,raikkonen,ferrari,3,1,6,2
367,23965,British Grand Prix,bottas,mercedes,4,2,8,3
373,23966,British Grand Prix,ricciardo,red_bull,5,2,14,4
383,23967,British Grand Prix,hulkenberg,renault,6,2,24,4
381,23968,British Grand Prix,ocon,force_india,7,3,22,4
384,23969,British Grand Prix,alonso,mclaren,8,3,25,4
374,23970,British Grand Prix,kevin_magnussen,haas,9,3,15,4
386,23971,British Grand Prix,perez,force_india,10,3,27,4
394,23972,British Grand Prix,vandoorne,mclaren,11,4,35,4
399,23973,British Grand Prix,stroll,williams,12,4,40,4
388,23974,British Grand Prix,gasly,toro_rosso,13,4,29,4
396,23975,British Grand Prix,sirotkin,williams,14,4,37,4
370,23977,British Grand Prix,max_verstappen,red_bull,0,4,11,4
372,23978,British Grand Prix,grosjean,haas,0,4,13,4
392,23979,British Grand Prix,sainz,renault,0,4,33,4
390,23980,British Grand Prix,ericsson,sauber,0,4,31,4
377,23981,British Grand Prix,leclerc,sauber,0,4,18,4
362,23982,British Grand Prix,brendon_hartley,toro_rosso,0,4,3,1
423,23983,German Grand Prix,hamilton,mercedes,1,1,24,4
403,23984,German Grand Prix,bottas,mercedes,2,1,4,2
402,23985,German Grand Prix,raikkonen,ferrari,3,1,3,1
409,23986,German Grand Prix,max_verstappen,red_bull,4,2,10,3
412,23987,German Grand Prix,hulkenberg,renault,5,2,13,4
407,23988,German Grand Prix,grosjean,haas,6,2,8,3
419,23989,German Grand Prix,perez,force_india,7,3,20,4
429,23990,German Grand Prix,ocon,force_india,8,3,30,4
425,23991,German Grand Prix,ericsson,sauber,9,3,26,4
433,23992,German Grand Prix,brendon_hartley,toro_rosso,10,3,34,4
411,23993,German Grand Prix,kevin_magnussen,haas,11,4,12,4
415,23994,German Grand Prix,sainz,renault,12,4,16,4
437,23995,German Grand Prix,vandoorne,mclaren,13,4,38,4
430,23996,German Grand Prix,gasly,toro_rosso,14,4,31,4
417,23997,German Grand Prix,leclerc,sauber,15,4,18,4
418,23998,German Grand Prix,alonso,mclaren,16,4,19,4
435,23999,German Grand Prix,stroll,williams,0,4,36,4
401,24000,German Grand Prix,vettel,ferrari,0,4,2,1
424,24001,German Grand Prix,sirotkin,williams,0,4,25,4
439,24002,German Grand Prix,ricciardo,red_bull,0,4,40,4
440,24003,Hungarian Grand Prix,hamilton,mercedes,1,1,1,1
446,24004,Hungarian Grand Prix,vettel,ferrari,2,1,7,3
443,24005,Hungarian Grand Prix,raikkonen,ferrari,3,1,4,2
462,24006,Hungarian Grand Prix,ricciardo,red_bull,4,2,23,4
445,24007,Hungarian Grand Prix,bottas,mercedes,5,2,6,2
451,24008,Hungarian Grand Prix,gasly,toro_rosso,6,2,12,4
459,24009,Hungarian Grand Prix,kevin_magnussen,haas,7,3,20,4
460,24010,Hungarian Grand Prix,alonso,mclaren,8,3,21,4
449,24011,Hungarian Grand Prix,sainz,renault,9,3,10,3
455,24012,Hungarian Grand Prix,grosjean,haas,10,3,16,4
458,24013,Hungarian Grand Prix,brendon_hartley,toro_rosso,11,4,19,4
465,24014,Hungarian Grand Prix,hulkenberg,renault,12,4,26,4
476,24015,Hungarian Grand Prix,ocon,force_india,13,4,37,4
477,24016,Hungarian Grand Prix,perez,force_india,14,4,38,4
467,24017,Hungarian Grand Prix,ericsson,sauber,15,4,28,4
479,24018,Hungarian Grand Prix,sirotkin,williams,16,4,40,4
469,24019,Hungarian Grand Prix,stroll,williams,17,4,30,4
471,24020,Hungarian Grand Prix,vandoorne,mclaren,0,4,32,4
453,24021,Hungarian Grand Prix,max_verstappen,red_bull,0,4,14,4
473,24022,Hungarian Grand Prix,leclerc,sauber,0,4,34,4
483,24023,Belgian Grand Prix,vettel,ferrari,1,1,4,2
481,24024,Belgian Grand Prix,hamilton,mercedes,2,1,2,1
495,24025,Belgian Grand Prix,max_verstappen,red_bull,3,1,16,4
517,24026,Belgian Grand Prix,bottas,mercedes,4,2,38,4
490,24027,Belgian Grand Prix,perez,force_india,5,2,11,4
487,24028,Belgian Grand Prix,ocon,force_india,6,2,8,3
486,24029,Belgian Grand Prix,grosjean,haas,7,3,7,3
498,24030,Belgian Grand Prix,kevin_magnussen,haas,8,3,19,4
500,24031,Belgian Grand Prix,gasly,toro_rosso,9,3,21,4
506,24032,Belgian Grand Prix,ericsson,sauber,10,3,27,4
509,24033,Belgian Grand Prix,sainz,renault,11,4,30,4
512,24034,Belgian Grand Prix,sirotkin,williams,12,4,33,4
514,24035,Belgian Grand Prix,stroll,williams,13,4,35,4
502,24036,Belgian Grand Prix,brendon_hartley,toro_rosso,14,4,23,4
516,24037,Belgian Grand Prix,vandoorne,mclaren,15,4,37,4
497,24038,Belgian Grand Prix,ricciardo,red_bull,0,4,18,4
491,24039,Belgian Grand Prix,raikkonen,ferrari,0,4,12,4
504,24040,Belgian Grand Prix,leclerc,sauber,0,4,25,4
507,24041,Belgian Grand Prix,alonso,mclaren,0,4,28,4
519,24042,Belgian Grand Prix,hulkenberg,renault,0,4,40,4
524,24043,Italian Grand Prix,hamilton,mercedes,1,1,5,2
521,24044,Italian Grand Prix,raikkonen,ferrari,2,1,2,1
528,24045,Italian Grand Prix,bottas,mercedes,3,1,9,3
523,24046,Italian Grand Prix,vettel,ferrari,4,2,4,2
531,24047,Italian Grand Prix,max_verstappen,red_bull,5,2,12,4
536,24048,Italian Grand Prix,ocon,force_india,7,3,17,4
548,24049,Italian Grand Prix,perez,force_india,8,3,29,4
534,24050,Italian Grand Prix,sainz,renault,9,3,15,4
540,24051,Italian Grand Prix,stroll,williams,10,3,21,4
546,24052,Italian Grand Prix,sirotkin,williams,11,4,27,4
550,24053,Italian Grand Prix,leclerc,sauber,12,4,31,4
554,24054,Italian Grand Prix,vandoorne,mclaren,13,4,35,4
559,24055,Italian Grand Prix,hulkenberg,renault,14,4,40,4
538,24056,Italian Grand Prix,gasly,toro_rosso,15,4,19,4
556,24057,Italian Grand Prix,ericsson,sauber,16,4,37,4
542,24058,Italian Grand Prix,kevin_magnussen,haas,17,4,23,4
558,24059,Italian Grand Prix,ricciardo,red_bull,0,4,39,4
544,24060,Italian Grand Prix,alonso,mclaren,0,4,25,4
552,24061,Italian Grand Prix,brendon_hartley,toro_rosso,0,4,33,4
529,24062,Italian Grand Prix,grosjean,haas,0,4,10,3
560,24063,Singapore Grand Prix,hamilton,mercedes,1,1,1,1
565,24064,Singapore Grand Prix,max_verstappen,red_bull,2,1,6,2
564,24065,Singapore Grand Prix,vettel,ferrari,3,1,5,2
567,24066,Singapore Grand Prix,bottas,mercedes,4,2,8,3
566,24067,Singapore Grand Prix,raikkonen,ferrari,5,2,7,3
571,24068,Singapore Grand Prix,ricciardo,red_bull,6,2,12,4
578,24069,Singapore Grand Prix,alonso,mclaren,7,3,19,4
583,24070,Singapore Grand Prix,sainz,renault,8,3,24,4
585,24071,Singapore Grand Prix,leclerc,sauber,9,3,26,4
580,24072,Singapore Grand Prix,hulkenberg,renault,10,3,21,4
586,24073,Singapore Grand Prix,ericsson,sauber,11,4,27,4
595,24074,Singapore Grand Prix,vandoorne,mclaren,12,4,36,4
590,24075,Singapore Grand Prix,gasly,toro_rosso,13,4,31,4
599,24076,Singapore Grand Prix,stroll,williams,14,4,40,4
570,24077,Singapore Grand Prix,grosjean,haas,15,4,11,4
573,24078,Singapore Grand Prix,perez,force_india,16,4,14,4
593,24079,Singapore Grand Prix,brendon_hartley,toro_rosso,17,4,34,4
591,24080,Singapore Grand Prix,kevin_magnussen,haas,18,4,32,4
597,24081,Singapore Grand Prix,sirotkin,williams,19,4,38,4
576,24082,Singapore Grand Prix,ocon,force_india,0,4,17,4
601,24083,Russian Grand Prix,hamilton,mercedes,1,1,2,1
603,24084,Russian Grand Prix,bottas,mercedes,2,1,4,2
606,24085,Russian Grand Prix,vettel,ferrari,3,1,7,3
607,24086,Russian Grand Prix,raikkonen,ferrari,4,2,8,3
638,24087,Russian Grand Prix,max_verstappen,red_bull,5,2,39,4
636,24088,Russian Grand Prix,ricciardo,red_bull,6,2,37,4
616,24089,Russian Grand Prix,leclerc,sauber,7,3,17,4
609,24090,Russian Grand Prix,kevin_magnussen,haas,8,3,10,3
613,24091,Russian Grand Prix,ocon,force_india,9,3,14,4
617,24092,Russian Grand Prix,perez,force_india,10,3,18,4
614,24093,Russian Grand Prix,grosjean,haas,11,4,15,4
624,24094,Russian Grand Prix,hulkenberg,renault,12,4,25,4
620,24095,Russian Grand Prix,ericsson,sauber,13,4,21,4
630,24096,Russian Grand Prix,alonso,mclaren,14,4,31,4
629,24097,Russian Grand Prix,stroll,williams,15,4,30,4
631,24098,Russian Grand Prix,vandoorne,mclaren,16,4,32,4
622,24099,Russian Grand Prix,sainz,renault,17,4,23,4
627,24100,Russian Grand Prix,sirotkin,williams,18,4,28,4
635,24101,Russian Grand Prix,gasly,toro_rosso,0,4,36,4
639,24102,Russian Grand Prix,brendon_hartley,toro_rosso,0,4,40,4
641,24103,Japanese Grand Prix,hamilton,mercedes,1,1,2,1
643,24104,Japanese Grand Prix,bottas,mercedes,2,1,4,2
649,24105,Japanese Grand Prix,max_verstappen,red_bull,3,1,10,3
670,24106,Japanese Grand Prix,ricciardo,red_bull,4,2,31,4
646,24107,Japanese Grand Prix,raikkonen,ferrari,5,2,7,3
653,24108,Japanese Grand Prix,vettel,ferrari,6,2,14,4
658,24109,Japanese Grand Prix,perez,force_india,7,3,19,4
648,24110,Japanese Grand Prix,grosjean,haas,8,3,9,3
663,24111,Japanese Grand Prix,ocon,force_india,9,3,24,4
666,24112,Japanese Grand Prix,sainz,renault,10,3,27,4
655,24113,Japanese Grand Prix,gasly,toro_rosso,11,4,16,4
679,24114,Japanese Grand Prix,ericsson,sauber,12,4,40,4
652,24115,Japanese Grand Prix,brendon_hartley,toro_rosso,13,4,13,4
673,24116,Japanese Grand Prix,alonso,mclaren,14,4,34,4
678,24117,Japanese Grand Prix,vandoorne,mclaren,15,4,39,4
675,24118,Japanese Grand Prix,sirotkin,williams,16,4,36,4
668,24119,Japanese Grand Prix,stroll,williams,17,4,29,4
660,24120,Japanese Grand Prix,leclerc,sauber,0,4,21,4
672,24121,Japanese Grand Prix,hulkenberg,renault,0,4,33,4
665,24122,Japanese Grand Prix,kevin_magnussen,haas,0,4,26,4
681,24123,United States Grand Prix,raikkonen,ferrari,1,1,2,1
715,24124,United States Grand Prix,max_verstappen,red_bull,2,1,36,4
680,24125,United States Grand Prix,hamilton,mercedes,3,1,1,1
686,24126,United States Grand Prix,vettel,ferrari,4,2,7,3
685,24127,United States Grand Prix,bottas,mercedes,5,2,6,2
693,24128,United States Grand Prix,hulkenberg,renault,6,2,14,4
701,24129,United States Grand Prix,sainz,renault,7,3,22,4
698,24130,United States Grand Prix,perez,force_india,8,3,19,4
719,24131,United States Grand Prix,brendon_hartley,toro_rosso,9,3,40,4
712,24132,United States Grand Prix,ericsson,sauber,10,3,33,4
714,24133,United States Grand Prix,vandoorne,mclaren,11,4,35,4
718,24134,United States Grand Prix,gasly,toro_rosso,12,4,39,4
707,24135,United States Grand Prix,sirotkin,williams,13,4,28,4
709,24136,United States Grand Prix,stroll,williams,14,4,30,4
697,24137,United States Grand Prix,leclerc,sauber,0,4,18,4
687,24138,United States Grand Prix,ricciardo,red_bull,0,4,8,3
691,24139,United States Grand Prix,grosjean,haas,0,4,12,4
702,24140,United States Grand Prix,alonso,mclaren,0,4,23,4
692,24141,United States Grand Prix,ocon,force_india,0,4,13,4
703,24142,United States Grand Prix,kevin_magnussen,haas,0,4,24,4
725,24143,Mexican Grand Prix,max_verstappen,red_bull,1,1,6,2
726,24144,Mexican Grand Prix,vettel,ferrari,2,1,7,3
730,24145,Mexican Grand Prix,raikkonen,ferrari,3,1,11,4
723,24146,Mexican Grand Prix,hamilton,mercedes,4,2,4,2
731,24147,Mexican Grand Prix,bottas,mercedes,5,2,12,4
734,24148,Mexican Grand Prix,hulkenberg,renault,6,2,15,4
738,24149,Mexican Grand Prix,leclerc,sauber,7,3,19,4
751,24150,Mexican Grand Prix,vandoorne,mclaren,8,3,32,4
740,24151,Mexican Grand Prix,ericsson,sauber,9,3,21,4
759,24152,Mexican Grand Prix,gasly,toro_rosso,10,3,40,4
743,24153,Mexican Grand Prix,ocon,force_india,11,4,24,4
756,24154,Mexican Grand Prix,stroll,williams,12,4,37,4
758,24155,Mexican Grand Prix,sirotkin,williams,13,4,39,4
749,24156,Mexican Grand Prix,brendon_hartley,toro_rosso,14,4,30,4
752,24157,Mexican Grand Prix,kevin_magnussen,haas,15,4,33,4
754,24158,Mexican Grand Prix,grosjean,haas,16,4,35,4
724,24159,Mexican Grand Prix,ricciardo,red_bull,0,4,5,2
747,24160,Mexican Grand Prix,perez,force_india,0,4,28,4
736,24161,Mexican Grand Prix,sainz,renault,0,4,17,4
741,24162,Mexican Grand Prix,alonso,mclaren,0,4,22,4
760,24163,Brazilian Grand Prix,hamilton,mercedes,1,1,1,1
770,24164,Brazilian Grand Prix,max_verstappen,red_bull,2,1,11,4
765,24165,Brazilian Grand Prix,raikkonen,ferrari,3,1,6,2
781,24166,Brazilian Grand Prix,ricciardo,red_bull,4,2,22,4
766,24167,Brazilian Grand Prix,bottas,mercedes,5,2,7,3
762,24168,Brazilian Grand Prix,vettel,ferrari,6,2,3,1
775,24169,Brazilian Grand Prix,leclerc,sauber,7,3,16,4
771,24170,Brazilian Grand Prix,grosjean,haas,8,3,12,4
778,24171,Brazilian Grand Prix,kevin_magnussen,haas,9,3,19,4
783,24172,Brazilian Grand Prix,perez,force_india,10,3,24,4
792,24173,Brazilian Grand Prix,brendon_hartley,toro_rosso,11,4,33,4
789,24174,Brazilian Grand Prix,sainz,renault,12,4,30,4
777,24175,Brazilian Grand Prix,gasly,toro_rosso,13,4,18,4
799,24176,Brazilian Grand Prix,vandoorne,mclaren,14,4,40,4
796,24177,Brazilian Grand Prix,ocon,force_india,15,4,37,4
787,24178,Brazilian Grand Prix,sirotkin,williams,16,4,28,4
790,24179,Brazilian Grand Prix,alonso,mclaren,17,4,31,4
797,24180,Brazilian Grand Prix,stroll,williams,18,4,38,4
785,24181,Brazilian Grand Prix,hulkenberg,renault,0,4,26,4
773,24182,Brazilian Grand Prix,ericsson,sauber,0,4,14,4
801,24183,Abu Dhabi Grand Prix,hamilton,mercedes,1,1,2,1
802,24184,Abu Dhabi Grand Prix,vettel,ferrari,2,1,3,1
811,24185,Abu Dhabi Grand Prix,max_verstappen,red_bull,3,1,12,4
809,24186,Abu Dhabi Grand Prix,ricciardo,red_bull,4,2,10,3
803,24187,Abu Dhabi Grand Prix,bottas,mercedes,5,2,4,2
821,24188,Abu Dhabi Grand Prix,sainz,renault,6,2,22,4
815,24189,Abu Dhabi Grand Prix,leclerc,sauber,7,3,16,4
829,24190,Abu Dhabi Grand Prix,perez,force_india,8,3,30,4
808,24191,Abu Dhabi Grand Prix,grosjean,haas,9,3,9,3
824,24192,Abu Dhabi Grand Prix,kevin_magnussen,haas,10,3,25,4
827,24193,Abu Dhabi Grand Prix,alonso,mclaren,11,4,28,4
832,24194,Abu Dhabi Grand Prix,brendon_hartley,toro_rosso,12,4,33,4
839,24195,Abu Dhabi Grand Prix,stroll,williams,13,4,40,4
836,24196,Abu Dhabi Grand Prix,vandoorne,mclaren,14,4,37,4
837,24197,Abu Dhabi Grand Prix,sirotkin,williams,15,4,38,4
